[2019-08-14 17:31:14,188]   INFO - tbrains.buildServer.ACTIVITIES - Server Started
[2019-08-14 17:37:24,241]   INFO - tbrains.buildServer.ACTIVITIES - New user created: 'alex' {id=1}
[2019-08-14 17:41:28,909]   INFO - s.buildServer.ACTIVITIES.AUDIT - project_create: Project "GitDevOps03 {id=GitDevOps03, internal id=project1}" was created by "'alex' (Oleksandr) {id=1}"
[2019-08-14 17:41:28,946]   INFO - s.buildServer.ACTIVITIES.AUDIT - vcs_root_create: VCS root ""https://github.com/alexshegera/GitDevOps03.git#refs/heads/master" {internal id=1, id=GitDevOps03_HttpsGithubComAlexshegeraGitDevOps03gitRefsHeadsMaster, description: "https://github.com/alexshegera/GitDevOps03.git#refs/heads/master"}" was created by "'alex' (Oleksandr) {id=1}" with comment "In project: GitDevOps03"
[2019-08-14 17:41:29,102]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_create: "GitDevOps03 / Build {id=GitDevOps03_Build, internal id=bt1}" was created by "'alex' (Oleksandr) {id=1}"
[2019-08-14 17:49:09,633]   INFO - s.buildServer.ACTIVITIES.AUDIT - agent_authorize: Agent ""ip_172.17.0.3" {id=1}" was authorized by "'alex' (Oleksandr) {id=1}"
[2019-08-14 18:04:12,459]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=1, configuration={id=GitDevOps03_Build, internal id=bt1}, queued}, triggered by "Git" (##vcsName='jetbrains.git' type='vcs')}
[2019-08-14 18:04:12,656]   INFO - tbrains.buildServer.ACTIVITIES - Build started; GitDevOps03 / Build {id=GitDevOps03_Build, internal id=bt1} #1 {promotion id=1, agent="ip_172.17.0.3" {id=1}, triggered by "Git" (##vcsName='jetbrains.git' type='vcs'). Started 2019-08-14 18:04:12.581, running}
[2019-08-14 18:04:19,801]   INFO - tbrains.buildServer.ACTIVITIES - Finished build GitDevOps03 / Build {id=GitDevOps03_Build, internal id=bt1} #1 {promotion id=1, agent="ip_172.17.0.3" {id=1}, triggered by "Git" (##vcsName='jetbrains.git' type='vcs'). Started 2019-08-14 18:04:13.852, finished. Status "NORMAL 'Running'"}
[2019-08-14 18:09:12,948]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=2, configuration={id=GitDevOps03_Build, internal id=bt1}, queued}, triggered by "Git" (##vcsName='jetbrains.git' type='vcs')}
[2019-08-14 18:09:12,969]   INFO - tbrains.buildServer.ACTIVITIES - Build started; GitDevOps03 / Build {id=GitDevOps03_Build, internal id=bt1} #2 {promotion id=2, agent="ip_172.17.0.3" {id=1}, triggered by "Git" (##vcsName='jetbrains.git' type='vcs'). Started 2019-08-14 18:09:12.961, running}
[2019-08-14 18:09:20,375]   INFO - tbrains.buildServer.ACTIVITIES - Finished build GitDevOps03 / Build {id=GitDevOps03_Build, internal id=bt1} #2 {promotion id=2, agent="ip_172.17.0.3" {id=1}, triggered by "Git" (##vcsName='jetbrains.git' type='vcs'). Started 2019-08-14 18:09:13.897, finished. Status "NORMAL 'Running'"}
[2019-08-14 18:12:44,533]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "GitDevOps03 / Build {id=GitDevOps03_Build, internal id=bt1}" build configuration settings were edited ("version before: 1, version after: 2") by "'alex' (Oleksandr) {id=1}" with comment "runners of 'Build' build configuration were updated"
[2019-08-14 18:21:07,287]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "GitDevOps03 / Build {id=GitDevOps03_Build, internal id=bt1}" build configuration settings were edited ("version before: 2, version after: 3") by "'alex' (Oleksandr) {id=1}" with comment "runners of 'Build' build configuration were updated"
[2019-08-14 18:23:11,588]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "GitDevOps03 / Build {id=GitDevOps03_Build, internal id=bt1}" build configuration settings were edited ("version before: 3, version after: 4") by "'alex' (Oleksandr) {id=1}" with comment "runners of 'Build' build configuration were updated"
[2019-08-14 18:23:49,629]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_add_to_queue: Build BUILD_PROMOTION{id=3} was added to queue by "'alex' (Oleksandr) {id=1}"
[2019-08-14 18:23:49,634]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=3, configuration={id=GitDevOps03_Build, internal id=bt1}, queued}, triggered by "'alex' (Oleksandr) {id=1}" (##userId='1' type='user')}
[2019-08-14 18:27:18,058]   INFO - tbrains.buildServer.ACTIVITIES - Build started; GitDevOps03 / Build {id=GitDevOps03_Build, internal id=bt1} #3 {promotion id=3, agent="ip_172.17.0.3" {id=1}, triggered by "'alex' (Oleksandr) {id=1}" (##userId='1' type='user'). Started 2019-08-14 18:27:18.042, running}
[2019-08-14 18:27:33,607]   INFO - tbrains.buildServer.ACTIVITIES - Finished build GitDevOps03 / Build {id=GitDevOps03_Build, internal id=bt1} #3 {promotion id=3, agent="ip_172.17.0.3" {id=1}, triggered by "'alex' (Oleksandr) {id=1}" (##userId='1' type='user'). Started 2019-08-14 18:27:19.190, finished. Status "FAILURE 'Exit code 1 (Step: Build Docker Image (Docker)) (new)'"}
