14-Aug-2019 16:57:58.095 INFO [localhost-startStop-1] org.apache.catalina.core.ApplicationContext.log No Spring WebApplicationInitializer types detected on classpath
14-Aug-2019 16:57:58.444 INFO [localhost-startStop-1] org.apache.jasper.servlet.TldScanner.scanJars At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
14-Aug-2019 17:01:37.676 INFO [localhost-startStop-1] org.apache.catalina.core.ApplicationContext.log No Spring WebApplicationInitializer types detected on classpath
14-Aug-2019 17:01:38.145 INFO [localhost-startStop-1] org.apache.jasper.servlet.TldScanner.scanJars At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
14-Aug-2019 17:03:54.114 INFO [localhost-startStop-1] org.apache.catalina.core.ApplicationContext.log No Spring WebApplicationInitializer types detected on classpath
14-Aug-2019 17:03:54.452 INFO [localhost-startStop-1] org.apache.jasper.servlet.TldScanner.scanJars At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
14-Aug-2019 17:06:04.646 INFO [localhost-startStop-1] org.apache.catalina.core.ApplicationContext.log No Spring WebApplicationInitializer types detected on classpath
14-Aug-2019 17:06:04.920 INFO [localhost-startStop-1] org.apache.jasper.servlet.TldScanner.scanJars At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
14-Aug-2019 17:13:34.075 INFO [localhost-startStop-1] org.apache.catalina.core.ApplicationContext.log No Spring WebApplicationInitializer types detected on classpath
14-Aug-2019 17:13:34.419 INFO [localhost-startStop-1] org.apache.jasper.servlet.TldScanner.scanJars At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
14-Aug-2019 17:24:57.766 INFO [localhost-startStop-1] org.apache.catalina.core.ApplicationContext.log No Spring WebApplicationInitializer types detected on classpath
14-Aug-2019 17:24:58.071 INFO [localhost-startStop-1] org.apache.jasper.servlet.TldScanner.scanJars At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
14-Aug-2019 17:29:06.147 INFO [localhost-startStop-1] org.apache.catalina.core.ApplicationContext.log No Spring WebApplicationInitializer types detected on classpath
14-Aug-2019 17:29:06.415 INFO [localhost-startStop-1] org.apache.jasper.servlet.TldScanner.scanJars At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
14-Aug-2019 17:29:49.761 INFO [TC: 17:29:49 Stage: Initializing TeamCity server components; TeamCity Server (version 2019.1.2 build 66342 started 2019-08-14 17:29:07.057), node id: MAIN_SERVER] org.apache.catalina.core.ApplicationContext.log Initializing Spring FrameworkServlet 'buildServer'
14-Aug-2019 17:31:02.056 INFO [TC: 17:31:00 Initializing Jersey for plugin 'rest-api-2017.1'; REST API initializer 1] com.sun.jersey.server.impl.application.WebApplicationImpl._initiate Initiating Jersey application, version 'Jersey: 1.19 02/11/2015 03:25 AM'
14-Aug-2019 17:31:02.075 INFO [TC: 17:31:00 Initializing Jersey for plugin 'rest-api-2017.2'; REST API initializer 1] com.sun.jersey.server.impl.application.WebApplicationImpl._initiate Initiating Jersey application, version 'Jersey: 1.19 02/11/2015 03:25 AM'
14-Aug-2019 17:31:02.128 INFO [TC: 17:31:00 Initializing Jersey for plugin 'rest-api' via background initial initialization; REST API initializer for plugin 'rest-api' 1] com.sun.jersey.server.impl.application.WebApplicationImpl._initiate Initiating Jersey application, version 'Jersey: 1.19 02/11/2015 03:25 AM'
14-Aug-2019 17:31:03.087 INFO [TC: 17:31:00 Initializing Jersey for plugin 'rest-api' via background initial initialization; REST API initializer for plugin 'rest-api' 1] com.sun.jersey.server.impl.application.DeferredResourceConfig$ApplicationHolder.<init> Instantiated the Application class jetbrains.buildServer.server.rest.jersey.ExtensionsAwareResourceConfig
14-Aug-2019 17:31:03.091 INFO [TC: 17:31:00 Initializing Jersey for plugin 'rest-api-2017.2'; REST API initializer 1] com.sun.jersey.server.impl.application.DeferredResourceConfig$ApplicationHolder.<init> Instantiated the Application class jetbrains.buildServer.server.rest.jersey.ExtensionsAwareResourceConfig
14-Aug-2019 17:31:03.241 INFO [TC: 17:31:00 Initializing Jersey for plugin 'rest-api-2017.1'; REST API initializer 1] com.sun.jersey.server.impl.application.DeferredResourceConfig$ApplicationHolder.<init> Instantiated the Application class jetbrains.buildServer.server.rest.jersey.ExtensionsAwareResourceConfig
14-Aug-2019 17:31:05.191 INFO [TC: 17:31:00 Initializing Jersey for plugin 'rest-api-2017.2'; REST API initializer 1] com.sun.jersey.api.wadl.config.WadlGeneratorLoader.loadWadlGenerator Loading wadlGenerator com.sun.jersey.server.wadl.generators.WadlGeneratorApplicationDoc
14-Aug-2019 17:31:05.202 INFO [TC: 17:31:00 Initializing Jersey for plugin 'rest-api-2017.2'; REST API initializer 1] com.sun.jersey.api.wadl.config.WadlGeneratorLoader.loadWadlGenerator Loading wadlGenerator jetbrains.buildServer.server.rest.jersey.WadlGenerator$PatchedWadlGenerator
14-Aug-2019 17:31:05.203 INFO [TC: 17:31:00 Initializing Jersey for plugin 'rest-api-2017.2'; REST API initializer 1] com.sun.jersey.api.wadl.config.WadlGeneratorLoader.loadWadlGenerator Loading wadlGenerator com.sun.jersey.server.wadl.generators.resourcedoc.WadlGeneratorResourceDocSupport
14-Aug-2019 17:31:05.389 INFO [TC: 17:31:00 Initializing Jersey for plugin 'rest-api-2017.1'; REST API initializer 1] com.sun.jersey.api.wadl.config.WadlGeneratorLoader.loadWadlGenerator Loading wadlGenerator com.sun.jersey.server.wadl.generators.WadlGeneratorApplicationDoc
14-Aug-2019 17:31:05.422 INFO [TC: 17:31:00 Initializing Jersey for plugin 'rest-api-2017.1'; REST API initializer 1] com.sun.jersey.api.wadl.config.WadlGeneratorLoader.loadWadlGenerator Loading wadlGenerator jetbrains.buildServer.server.rest.jersey.WadlGenerator$PatchedWadlGenerator
